,TrainingLoss,ValLoss,ValAcc
0,1228.4836050069173,2.3033443603515624,10.28
1,2.8988498860677083,2.30222919921875,10.28
2,2.3602880554199217,2.301475732421875,11.35
3,2.3232925720214843,2.3017387451171873,11.35
4,2.484011973063151,2.305666809082031,10.28
5,2.3607544108072918,2.302316162109375,11.35
6,2.319413407389323,2.301860412597656,11.35
7,2.308618642171224,2.302125427246094,11.35
8,2.3060601298014323,2.301865478515625,11.35
9,2.304564880371094,2.303208154296875,10.28
10,2.304350889078776,2.304165930175781,10.28
11,2.304447597249349,2.30140908203125,11.35
12,2.3031711771647134,2.3029874267578125,10.28
13,2.303522770182292,2.301511669921875,11.35
14,2.302436796061198,2.301136413574219,11.35
15,2.3020211832682294,2.30178974609375,11.35
16,2.3025010030110677,2.3013722900390623,11.35
17,2.302378476969401,2.301405322265625,11.35
18,2.3020155476888022,2.3014989135742185,11.35
19,2.302112129720052,2.3014138305664065,11.35
20,2.301939180501302,2.301742919921875,11.35
21,2.3019449564615884,2.30128662109375,10.28
22,2.301692411295573,2.3012630126953124,11.35
23,2.301852618408203,2.3013168212890625,11.35
24,2.302068835449219,2.3012284301757813,11.35
25,2.3017729634602864,2.301727648925781,11.35
26,2.3020437845865884,2.3012536376953125,11.35
27,2.3018080037434894,2.3015864990234376,11.35
28,2.3045537373860676,2.3011150024414064,11.35
29,2.3019043436686197,2.3015854370117186,11.35
